track_id,length,artists,album,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,minutes,beat_density,Popularity_Rank,melody_complexity,instrumental_acoustic_ratio,favorite
741UUVE2kuITl0c6zuqqbO,109750,5390,819,4,0.77,0.519,0.58,144.072,0.000127,-8.393,0.233,0.0,0.753,0.247,1,91.0,1.8291666666666666,78.76373576309796,49.5,576.288,0.0002447013487475915,0
5w40ZYhbBMAlHYNDaVJIUu,184013,5819,1605,4,0.498,0.00136,0.897,169.902,0.0,-4.907,0.118,2.0,0.373,0.045,1,88.0,3.066883333333333,55.398912033388946,115.5,679.608,0.0,0
0Nfh4u0J4bajcyp5pzaWCx,190461,5140,8880,4,0.451,0.6,0.632,147.06,0.0,-3.843,0.139,4.0,0.455,0.0475,1,84.0,3.17435,46.327594625671395,278.0,588.24,0.0,0
5Eh1nj7IjV9lwpcKAkidyY,181482,7547,7443,4,0.629,0.0878,0.654,93.034,0.00655,-7.852,0.22,11.0,0.799,0.0584,0,80.0,3.0247,30.758091711574703,592.5,372.136,0.0746013667425968,0
1Qrg8KqiBpW07V7PNxwwwL,153947,6395,6917,4,0.644,0.0521,0.735,88.98,0.144,-5.747,0.161,8.0,0.418,0.0391,1,92.0,2.5657833333333335,34.679467608982314,37.5,355.92,2.763915547024952,0
1odExI7RdWc4BT515LTAwj,212954,1821,2041,4,0.508,0.83,0.43,130.09,0.000441,-9.475,0.093,2.0,0.324,0.0335,0,95.0,3.5492333333333335,36.65298609089287,15.0,520.36,0.0005313253012048193,0
7ABLbnD53cQK00mhcaOUVG,197920,5282,4500,4,0.708,0.0739,0.737,91.986,0.00162,-4.045,0.0955,1.0,0.607,0.0436,1,98.0,3.2986666666666666,27.885812449474535,4.5,367.944,0.02192151556156969,0
59NraMJsLaMCVtwXTSia8i,132359,8016,6308,4,0.638,0.001,0.717,141.904,1.79e-06,-5.804,0.113,8.0,0.422,0.0375,1,94.0,2.205983333333333,64.32686859223779,21.0,567.616,0.00179,0
6iF4RgIjDvDqyW13PezSj3,171655,6512,7295,4,0.61,0.00863,0.571,105.01,0.0,-5.649,0.131,2.0,0.747,0.0782,1,89.0,2.8609166666666668,36.7050187876846,89.5,420.04,0.0,0
4Dvkj6JhhA12EX05fT7y2e,167303,3222,3501,4,0.52,0.342,0.731,173.93,0.00101,-5.338,0.311,6.0,0.662,0.0557,0,95.0,2.7883833333333334,62.37664596570295,15.0,695.72,0.002953216374269006,0
6fNCrsrdIcgVd2aZZ0nnz4,142335,4817,7158,3,0.909,0.434,0.762,101.987,0.0,-3.974,0.0856,9.0,0.843,0.0643,1,89.0,2.37225,42.991674570555375,89.5,305.961,0.0,0
