track_id,album,artists,length,danceability,tempo,energy,acousticness,time_signature,favorite
1i9lZvlaDdWDPyXEE95aiq,8804,7518,353755,0.458,82.826,0.535,0.575,4,0
2nibvvDdAQkVraYP00z2RS,2891,2069,285630,0.571,120.947,0.55,0.0548,4,0
3h4HlcmWdexWJ6SSyZG67E,8003,4500,132566,0.799,131.073,0.751,0.0543,4,0
3kfhS2L56Wj8fBcu7xE47H,5723,6254,203442,0.544,103.148,0.496,0.13,5,0
6Qc90FMwNUjJ2M893RdYUg,6900,5528,168427,0.677,189.976,0.658,0.0538,4,0
6GeNWEE6sxYf5hMO93gw42,2190,5127,175765,0.83,169.998,0.831,0.183,4,0
3CUMd8XMv3LBSLrDrKoXQE,2976,7940,207133,0.542,70.934,0.695,0.0111,1,0
2hkcNrUwTVwKqjfUO1Kx3d,643,155,177893,0.558,91.306,0.657,0.132,4,0
7icwQvajsokotDfM3tefW6,3767,6578,154120,0.739,82.549,0.536,0.231,4,0
67nepsnrcZkowTxMWigSbb,8804,7515,246134,0.557,111.975,0.774,0.012,4,0
02K2VtGdUG5fUlAQATEgE6,6902,6148,219617,0.493,173.579,0.737,0.194,4,0
2eLrDMQnosvAOTzoZ8bRZZ,5684,4187,137893,0.899,155.002,0.648,0.000235,4,0
166lmjn9xjWj1AEdGX8PYh,2696,5531,156307,0.676,163.992,0.844,0.271,4,0
2XkuWK1lXOPkxdWdM78Q0l,7025,2007,195573,0.831,139.941,0.362,0.000156,4,0
5JYPXqMwYc0zTODQdjMEZN,4736,3371,126857,0.789,140.107,0.763,0.123,4,0
4T9246CX4qYIaUxVFALOpQ,1330,3118,168645,0.731,159.986,0.888,0.0152,4,0
2c7sRekhMGlj7u1WIIzoQu,193,4155,150402,0.538,141.659,0.669,0.00437,4,0
59GEWDzQgCXM55aGZDWSrQ,4508,1726,118356,0.882,145.995,0.569,0.00555,4,0
3FjK86616FbluOfTxNK2gY,1255,6702,148928,0.931,128.871,0.401,0.399,4,0
6WYo4HDHHvMJZU1lNebB3V,4416,4503,286579,0.752,175.988,0.643,0.142,4,0
3MbOT5mzE94Ne0Hv51akoS,1302,7577,175671,0.831,105.104,0.439,0.199,4,0
4hGmQboiou09EwhcTWa0H6,8297,1931,230311,0.67,97.919,0.562,0.252,4,0
7gwEKj4xXm9iRqxGhHxSI4,6525,1459,106154,0.952,104.008,0.724,0.0414,4,0
2z2gqgwu1GCurpZJYzcytE,5723,6255,202224,0.741,152.078,0.509,0.0761,4,0
5IN2qvFpISNge4Bed3fJz4,9345,2459,119172,0.768,144.979,0.881,0.51,4,0
1BmI4EYdfzbg8DlV6pHYrY,6134,7931,217213,0.908,146.018,0.561,0.00933,4,0
1llzRvV9QpuNHjPu0rVQSp,8519,3115,172376,0.852,90.505,0.735,0.00209,4,0
4hrd3G5XnJzDC5LZw0Fwgu,4032,4379,176133,0.707,150.014,0.645,0.00654,4,0
4daEMLSZCgZ2Mt7gNm2SRa,6225,4496,192727,0.64,131.889,0.609,0.492,4,0
0B1xarnfKvUFWUoFdQnooq,6545,161,189012,0.745,120.015,0.877,0.455,4,0
3V0A5gVJFGy4Hmo3MJ59uD,3949,7914,134715,0.853,142.982,0.574,0.0105,4,0
39fKVWP7D9qAmkM8qjRQoC,912,6351,259547,0.621,89.23,0.462,0.472,4,0
11B7WTuoInwUvuP1BnnGWW,9590,7909,218264,0.684,149.947,0.63,0.0171,4,0
0pRqj4CrVCHOjDngEXZxcz,8409,4505,248661,0.569,144.642,0.811,0.696,4,0
2neydrTb5GVPRHNNmW0iPP,4571,6026,195488,0.467,160.036,0.908,0.0419,4,0
0bILU0UiNDmA5Ff6whhb2R,6682,752,178723,0.57,140.924,0.67,0.426,4,0
2ePiBvKtQOCBHq9uOlwiiU,4985,5064,181067,0.573,128.101,0.795,0.129,4,0
