ID,Song Name,Artists,Album Name,Popularity
4pNiE4LCVV74vfIBaUHm1b,Sir Duke,['Stevie Wonder'],Songs In The Key Of Life,74
7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia,['Gladys Knight & The Pips'],Imagination (Expanded Edition),73
5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,['Blue Öyster Cult'],Agents Of Fortune,78
3wpLkju0bJy89kjgdRys0j,September,"['Earth, Wind & Fire']","The Essential Earth, Wind & Fire",63
7MiLmLbwNoyf47xQ4TCVYp,Papa Was A Rollin' Stone - Single Version,['The Temptations'],"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s",67
7gkboYtvhuXNS4EUwmFPcw,Feel Like Makin' Love,['Roberta Flack'],Feel Like Makin' Love,63
5i0urffBRKl09GSX2Jhdeh,Could It Be I'm Falling in Love,['The Spinners'],Spinners,64
5jQcJ2st6yHWhUBjoDoZPH,Georgy Porgy,['TOTO'],Toto,68
5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,['Lou Reed'],Transformer,75
3M8FzayQWtkvOhqMn2V4T2,Lean on Me,['Bill Withers'],Still Bill,73
2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)",['Stevie Wonder'],"Signed, Sealed And Delivered",80
2EC9IJj7g0mN1Q5VrZkiYY,Rebel Rebel - 2016 Remaster,['David Bowie'],Diamond Dogs (2016 Remaster),75
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,['Fleetwood Mac'],Rumours (Super Deluxe),84
6D8kc7RO0rqBLSo2YPflJ5,ABC,['The Jackson 5'],ABC,71
627teoJpK7qZOxRRY8TNnv,Let's Get It On,['Marvin Gaye'],Let's Get It On,71
3e0FzZjTXOUtiJGSClOBrI,Fly Like An Eagle,['Steve Miller Band'],Fly Like An Eagle,69
2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,['Carly Simon'],No Secrets,78
7Ar4G7Ci11gpt6sfH9Cgz5,Listen to the Music,['The Doobie Brothers'],Toulouse Street,79
1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,['The Police'],Reggatta De Blanc (Remastered 2003),79
687YZan9Gol1UVvbpUSO6Y,I Wish,['Stevie Wonder'],Songs In The Key Of Life,67
28285KFbyCq8sJofn58qlD,Love Train,"[""The O'Jays""]",Back Stabbers,72
07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],Rumours,82
4UDmDIqJIbrW0hMBQMFOsM,Stayin' Alive,['Bee Gees'],Staying Alive (Original Motion Picture Soundtrack),80
43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,['Thin Lizzy'],Jailbreak (Deluxe Edition),76
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,['Elton John'],Madman Across The Water,79
4ZKgPZ9d4V5WW6H2s4qMD3,Lola - 2020 Stereo Remaster,['The Kinks'],"Lola Versus Powerman and the Moneygoround, Pt. 1",72
19Shlms2uTnOjIUg50TXzd,Never Going Back Again - 2004 Remaster,['Fleetwood Mac'],Rumours (Super Deluxe),77
54eZmuggBFJbV7k248bTTt,A Horse with No Name,"['America', 'George Martin']",America,79
2M55R2A9IAhLdsCGFj8r8k,I'm Every Woman,['Chaka Khan'],"Epiphany: The Best of Chaka Khan, Vol. 1",55
33ALuUDfftTs2NEszyvJRm,"Night Fever - From ""Saturday Night Fever"" Soundtrack",['Bee Gees'],Saturday Night Fever (The Original Movie Soundtrack),59
77oU2rjC5XbjQfNe3bD6so,Beast Of Burden - Remastered 1994,['The Rolling Stones'],Some Girls,77
4XsH9zBWPOCdXoH9ZDdS8r,Superfly,['Curtis Mayfield'],Superfly (Original Soundtrack),64
3EYOJ48Et32uATr9ZmLnAo,Roxanne,['The Police'],Outlandos D'Amour (Remastered 2003),83
0fonScmHUzC0MglSLn9saA,Da Doo Ron Ron (When He Walked Me Home),['The Crystals'],Da Doo Ron Ron: The Very Best of The Crystals,60
58CUIzSxNpQUFvTCd8tntH,La-La Means I Love You,['The Delfonics'],La La Means I Love You,63
