track_id,duration_ms,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode
6GGtHZgBycCgGBUhZo81xe,4,0.49,0.709,0.352,99.992,0.0856,-11.577,0.114,209156,6,0.166,0.0254,0
0mflMxspEfB0VbI1kyLiAv,4,0.662,0.782,0.488,117.913,0.0,-6.894,0.102,182347,9,0.817,0.0682,1
59uQI0PADDKeE6UZDTJEe8,4,0.517,0.459,0.675,203.853,0.0,-5.382,0.151,163855,6,0.518,0.0357,1
3XB5uhhlYSnkxpSihkNQwh,4,0.842,0.525,0.756,169.925,2.21e-06,-7.409,0.0871,172798,7,0.421,0.338,0
2FDTHlrBguDzQkp7PVj16Q,4,0.916,0.186,0.583,141.095,0.0,-8.067,0.0798,226383,1,0.661,0.241,1
210JJAa9nJOgNa0YNrsT5g,4,0.588,0.00685,0.765,145.988,3.23e-05,-5.914,0.2,220878,3,0.492,0.0518,0
1X1dy95bo2OirAmMkBIwkS,4,0.636,0.128,0.605,149.954,0.0,-9.718,0.138,185678,0,0.537,0.151,1
7aqfrAY2p9BUSiupwk3svU,4,0.47,0.0277,0.64,163.92,0.0,-7.779,0.382,247444,2,0.248,0.32,1
2Gk6fi0dqt91NKvlzGsmm7,4,0.773,0.0585,0.635,121.879,0.0,-5.06,0.132,173253,10,0.476,0.0452,1
4367dXCt02KMgELPisJ2D4,3,0.736,0.0724,0.645,132.024,0.00086,-5.195,0.136,188870,1,0.201,0.0807,1
6wsqVwoiVH2kde4k4KKAFU,4,0.927,0.0186,0.619,117.995,0.0,-4.441,0.104,211582,5,0.817,0.0539,0
2YSzYUF3jWqb9YP9VXmpjE,4,0.663,0.0464,0.67,136.952,8.92e-05,-8.399,0.205,260111,8,0.138,0.271,1
6N7TGPYfGP2oxiy9Cpaz9G,4,0.886,0.00789,0.558,75.499,0.0,-7.806,0.133,185453,1,0.614,0.346,1
4rXLjWdF2ZZpXCVTfWcshS,4,0.847,0.119,0.622,130.001,0.0,-6.747,0.285,125040,1,0.22,0.0903,0
7AtQxohgEu5dRYdcY4gB6G,4,0.874,0.0728,0.202,134.989,0.0,-16.814,0.14,142740,1,0.3,0.798,1
4T9246CX4qYIaUxVFALOpQ,4,0.731,0.0152,0.888,159.986,0.0,-6.914,0.172,168645,2,0.927,0.185,1
7LTCmtMpf3JPfBE8gAl64z,4,0.869,0.577,0.557,124.927,0.0,-7.112,0.139,230836,11,0.629,0.384,0
2Ge2ZhznMuO22wIQ9Z5Wql,4,0.772,0.385,0.759,137.026,0.0,-4.204,0.244,227184,4,0.137,0.0303,0
1xWkeSPhf3bZqHY7Ncz8vp,4,0.731,0.134,0.667,123.042,0.0,-7.928,0.114,144390,7,0.485,0.0815,0
6xVdq7lcNHpELteLBfrkY2,4,0.715,0.00905,0.673,88.536,0.0,-4.553,0.109,100975,1,0.203,0.329,1
1i9lZvlaDdWDPyXEE95aiq,4,0.458,0.575,0.535,82.826,0.0,-4.854,0.168,353755,5,0.216,0.0281,0
2IGMVunIBsBLtEQyoI1Mu7,4,0.868,0.269,0.538,99.968,3.34e-06,-8.603,0.0901,231750,5,0.732,0.174,1
7gwEKj4xXm9iRqxGhHxSI4,4,0.952,0.0414,0.724,104.008,0.0,-4.894,0.173,106154,1,0.494,0.122,1
2nibvvDdAQkVraYP00z2RS,4,0.571,0.0548,0.55,120.947,0.0,-6.567,0.179,285630,0,0.104,0.106,1
2c7sRekhMGlj7u1WIIzoQu,4,0.538,0.00437,0.669,141.659,1.03e-05,-4.97,0.43,150402,1,0.0389,0.0518,1
3h4HlcmWdexWJ6SSyZG67E,4,0.799,0.0543,0.751,131.073,0.0,-3.848,0.432,132566,8,0.72,0.313,1
3kfhS2L56Wj8fBcu7xE47H,5,0.544,0.13,0.496,103.148,0.0,-12.032,0.166,203442,0,0.314,0.21,1
6Qc90FMwNUjJ2M893RdYUg,4,0.677,0.0538,0.658,189.976,0.0,-6.223,0.167,168427,2,0.164,0.293,1
6GeNWEE6sxYf5hMO93gw42,4,0.83,0.183,0.831,169.998,0.0,-3.743,0.259,175765,11,0.96,0.213,1
0zbGWzQkLY5wn4xyiLYEi0,4,0.909,0.0107,0.564,146.94,0.0,-7.483,0.109,192508,2,0.548,0.31,1
3CUMd8XMv3LBSLrDrKoXQE,1,0.542,0.0111,0.695,70.934,0.0,-6.539,0.114,207133,11,0.306,0.183,0
2hkcNrUwTVwKqjfUO1Kx3d,4,0.558,0.132,0.657,91.306,0.0,-4.853,0.147,177893,1,0.5,0.232,1
7icwQvajsokotDfM3tefW6,4,0.739,0.231,0.536,82.549,0.0,-10.843,0.35,154120,1,0.64,0.308,1
67nepsnrcZkowTxMWigSbb,4,0.557,0.012,0.774,111.975,0.0,-5.275,0.396,246134,7,0.397,0.351,0
02K2VtGdUG5fUlAQATEgE6,4,0.493,0.194,0.737,173.579,0.0,-4.757,0.254,219617,10,0.482,0.496,0
2eLrDMQnosvAOTzoZ8bRZZ,4,0.899,0.000235,0.648,155.002,0.000802,-6.104,0.221,137893,6,0.424,0.463,1
166lmjn9xjWj1AEdGX8PYh,4,0.676,0.271,0.844,163.992,0.0,-4.831,0.0994,156307,5,0.424,0.407,0
2XkuWK1lXOPkxdWdM78Q0l,4,0.831,0.000156,0.362,139.941,0.0162,-6.085,0.168,195573,1,0.313,0.229,1
5JYPXqMwYc0zTODQdjMEZN,4,0.789,0.123,0.763,140.107,2.22e-05,-6.169,0.132,126857,1,0.272,0.199,1
59GEWDzQgCXM55aGZDWSrQ,4,0.882,0.00555,0.569,145.995,0.0,-5.934,0.107,118356,1,0.394,0.3,1
3FjK86616FbluOfTxNK2gY,4,0.931,0.399,0.401,128.871,2.05e-06,-8.756,0.266,148928,0,0.613,0.158,1
6WYo4HDHHvMJZU1lNebB3V,4,0.752,0.142,0.643,175.988,0.0,-5.561,0.0889,286579,7,0.805,0.458,1
